mRNA	logFC	FDR	Short	Long	Delta	InLibrary
C4orf7	-6.393813209451605	1.9431073193032003e-7	26505.653846153848	297.462962962963	169472.1996866902	Yes
FGA	-6.6177194507900685	0.0011794405876826486	3332.4358974358975	20.24074074074074	22053.125856972598	Yes
FGG	-3.486067876371439	0.034331773447937974	6268.576923076923	462.98148148148147	21852.684642101776	Yes
CHGA	-6.499324776343148	4.868109820236827e-6	3231.769230769231	34.074074074074076	21004.317832961897	Yes
PIGR	-1.6016409277959434	0.1568241035897011	8993.205128205129	2804.3703703703704	14403.885405397697	Yes
CYP2A7	-7.919551822901026	8.310831145835966e-8	1307.5641025641025	6.092592592592593	10355.321672021482	Yes
FABP7	-1.9149283965489259	0.289937617278626	3664.9358974358975	822.9814814814815	7018.089821531522	Yes
SLITRK6	-1.6023317108673654	0.035429614298640305	4121.192307692308	1062.3703703703704	6603.5171211980405	Yes
CYP2A6	-4.653625940330754	4.863076013797476e-6	1344.8974358974358	65.12962962962963	6258.649594776624	Yes
S100A7A	-2.0746509544533067	0.20529223657371118	2464.2179487179487	625.6111111111111	5112.392119288662	Yes
CRISPLD1	-1.5812231820634808	0.007309354175625956	2224.269230769231	723.6296296296297	3517.066070842814	Yes
CHRNA9	-6.097276024910872	1.0963322419038528e-11	480.53846153846155	7.907407407407407	2929.975640586017	Yes
C20orf56	-7.701862962767155	0.04661639148216373	349.55128205128204	0.4074074074074074	2692.1960728185445	No
AOX1	-1.7339132520281044	7.01891754719958e-4	1511.2179487179487	414.64814814814815	2620.3208279847795	No
KRT12	-6.224365563026758	7.907909166614385e-8	414.8076923076923	5.444444444444445	2581.9147152785995	Yes
HPD	-5.892082788135621	7.568230829483518e-12	436.2692307692308	6.666666666666667	2570.534425608552	Yes
SPANXA2	-6.259403625211245	0.05999256455444755	406.6666666666667	3.2777777777777777	2545.4908075859066	Yes
PDZK1IP1	-1.005124388654178	0.17432700950967708	2483.948717948718	1322.3703703703704	2496.6774365765345	Yes
FAIM2	-1.271764137018984	0.07180795764566948	1934.4871794871794	785.1111111111111	2460.211418394801	Yes
CES1	-1.4593670298775376	0.012090299911946994	1634.923076923077	647.7592592592592	2385.9528348474755	Yes
LOC643719	-2.4718387125315986	0.01682179112404275	957.7820512820513	126.55555555555556	2367.4827525268993	No
FGL1	-2.4485566235999983	0.11784666876710631	860.3589743589744	110.16666666666667	2106.6376653403677	Yes
CHIT1	-1.2535933349145076	0.2677565581695835	1590.6923076923076	881.074074074074	1994.081274822854	Yes
EGFR	-1.1349446549410187	0.05111710559685355	1668.7692307692307	877.1481481481482	1893.9607187915738	Yes
C2CD4A	-1.1401866191438035	0.30178562234446976	1619.2051282051282	702.5555555555555	1846.196020828514	Yes
C6orf223	-3.3867875928737754	1.4513598144446564e-6	517.4358974358975	43.48148148148148	1752.4454775434049	Yes
SLITRK3	-6.638070373400701	1.840022467758687e-7	251.28205128205127	2.4444444444444446	1668.0279399827402	Yes
INS	-7.250715481239619	0.06638811830890283	194.47435897435898	1.0740740740740742	1410.0782453195357	Yes
B4GALNT2	-1.7075116070112069	0.07134286919619288	815.025641025641	241.5	1391.6657420630313	Yes
UGT1A7	-3.715316182572926	0.2072665897512326	372.56410256410254	18.685185185185187	1384.1934393021695	Yes
CA10	-3.815972755390732	0.008330688198148086	359.3205128205128	24.685185185185187	1371.1572873761031	Yes
GCG	-8.403666650729669	0.02305970978205243	149.14102564102564	0.2962962962962963	1253.3314634351054	Yes
BCHE	-2.760937739730835	4.307604641231398e-6	416.4871794871795	86.20370370370371	1149.895171960204	Yes
SLC13A2	-1.416035695679142	0.2677565581695835	807.3717948717949	264.68518518518516	1143.2672812229996	Yes
HSD3B2	-3.295641988726288	0.003704878515099328	344.11538461538464	34.388888888888886	1134.0811105051578	Yes
CDC20B	-1.8353847720730634	0.17804877825211599	589.5384615384615	204.59259259259258	1082.0299148590736	Yes
LOC84740	-2.8650545254384516	1.827846254134213e-5	348.3076923076923	56.55555555555556	997.9205300911776	No
CYP4F22	-1.3323781654236837	0.24604231614221073	730.8205128205128	329.3703703703704	973.7292941257906	Yes
GABRB3	-1.233743071077559	0.23404089538390105	787.4871794871794	282.81481481481484	971.5568512547177	Yes
CTSE	-2.797396777163958	0.00838949260192155	332.14102564102564	41.888888888888886	929.1302346921367	Yes
LACRT	-5.919730191607572	4.929689749830612e-4	156.12820512820514	2.4814814814814814	924.2368496589361	Yes
TSIX	-1.029102274663901	0.3300051992206557	815.7051282051282	461.0925925925926	839.4440028909063	No
FAM135B	-2.901753559791428	3.131096662226148e-5	277.85897435897436	32.907407407407405	806.278267966149	Yes
CAMP	-1.6823316938883288	0.012452545293045599	475.21794871794873	118.61111111111111	799.4742166328036	Yes
DKK1	-1.0267082840513673	0.47755342183984645	774.8205128205128	500.962962962963	795.5146391657491	Yes
TTR	-4.894521095000212	6.81901793490125e-4	154.66666666666666	4.074074074074074	757.0192626933662	Yes
HAPLN1	-2.0899745452176073	6.415909830932766e-5	337.8205128205128	88.42592592592592	706.0362726472301	Yes
CHGB	-2.522921836601499	0.0029974444406659297	271.62820512820514	42.592592592592595	685.29673015482	Yes
EPHA3	-1.0886458236750916	0.04871725188330585	606.3846153846154	269.81481481481484	660.1380790792882	Yes
SPANXC	-5.16606512217894	0.030135795329885383	126.53846153846153	2.1666666666666665	653.7059327680274	Yes
SPDYC	-2.4798633484280588	0.03001637873611558	261.2307692307692	64.9074074074074	647.8166100970528	Yes
LMO3	-1.213283954571037	0.047889287365679156	518.7179487179487	210.55555555555554	629.3521641274892	Yes
C20orf85	-3.955236206305046	0.04222443111547052	157.02564102564102	16.09259259259259	621.0735007028744	Yes
PYDC1	-2.0986278534541056	0.024480216028816365	295.85897435897436	74.24074074074075	620.8978842841077	Yes
RTL1	-5.7268799249075695	1.873291157955686e-4	100.87179487179488	2.259259259259259	577.6806570406764	No
NPTX1	-2.3633943333125336	1.0992875484844659e-5	238.55128205128204	38	563.7907482044399	Yes
CRLF1	-1.2762348921678208	0.0236794341689023	429.1794871794872	189.66666666666666	547.7338365411534	Yes
ANK1	-1.6310522329891413	0.00473116817762209	317.93589743589746	99.03703703703704	518.5700554602272	Yes
MYO3B	-2.481791224589026	2.6273341661179245e-4	206.9102564102564	41.55555555555556	513.5080586364396	Yes
NTNG1	-1.7967510055410634	0.0377888234548486	282.4102564102564	72.85185185185185	507.42091218023774	Yes
MLC1	-2.3033114682099103	0.0030914213616240666	217.5	42.2962962962963	500.9702443356555	Yes
FOXJ1	-1.1993815700888857	0.3781620677344532	407.84615384615387	217.5185185185185	489.1631603547132	Yes
MYOM2	-1.620543564940829	0.012581134535463966	289.1794871794872	79.25925925925925	468.62795706160693	No
ZFP57	-1.5742858632780026	0.2799142805494451	293.47435897435895	128.9814814814815	462.0125345679071	Yes
SPAG6	-2.1375187989300284	0.0490608092656417	212.05128205128204	81.85185185185185	453.2636017218291	Yes
KCNK3	-1.6536383564003596	0.002204573058056748	273.2307692307692	74.68518518518519	451.82488014877515	No
