mRNA	logFC	FDR	Short	Long	Delta	InLibrary
AKR1B15	-1.3708286142475667	0.3522536261199513	319.88461538461536	102.18518518518519	438.50698402680814	No
ITIH2	-1.9721545909238882	0.08069063546443807	219.80769230769232	48.907407407407405	433.49474950500087	Yes
C1orf95	-1.2068014280492296	0.3074591981711017	356.03846153846155	173.55555555555554	429.6677238250661	Yes
SOX2	-1.2552789462188123	0.432404882072606	338.1923076923077	148.07407407407408	424.5256836193083	Yes
MUC4	-1.8427113374198985	0.006165931523330247	220.6153846153846	54.148148148148145	406.5304704400207	Yes
ZP2	-2.9561549349021585	0.04695825144707755	129.66666666666666	14.833333333333334	383.31475655897987	Yes
KRT24	-1.9265527221844772	0.38954674028851455	194.66666666666666	72	375.0355965852449	No
FCRLB	-1.297792717815027	0.08923321325846467	279.9230769230769	120.27777777777777	363.28213077914484	Yes
PAGE5	-2.2853601672491193	0.4258965210690006	157.24358974358975	31.74074074074074	359.3582365552622	Yes
CLDN9	-1.7306568604274293	0.002224304548313374	205.60256410256412	75.46296296296296	355.8274880855729	No
LHX1	-1.8322729951519923	0.4258965210690006	192.8846153846154	48.25925925925926	353.41727194950926	Yes
MCOLN3	-1.12174571240523	0.031158557283024812	311.02564102564105	150.12962962962962	348.891679268601	Yes
SBSN	-1.5973488055221334	0.22372751456440346	205.97435897435898	60.870370370370374	329.0128962758794	Yes
SCGN	-1.645846657459624	0.19796155217255534	195.21794871794873	92.20370370370371	321.29880837356023	Yes
UPK1A	-1.6490088086905532	0.10659950198161902	188.46153846153845	76.44444444444444	310.7747370224504	Yes
SYT8	-1.2478315393482342	0.21572602493973497	235.53846153846155	106.5	293.9123210372533	Yes
CCDC129	-1.8699845641579655	0.11052658641817495	152.76923076923077	38.51851851851852	285.67610341674765	No
VTN	-1.645699956527772	0.05770661115451761	168.37179487179486	62.55555555555556	277.0894555010157	Yes
GDPD2	-2.0052471864286048	0.016899285619140152	137.89743589743588	40.148148148148145	276.5184453490522	Yes
S100G	-3.3920981217775408	0.22029468584910822	80.11538461538461	3.759259259259259	271.75924567933146	Yes
TCHHL1	-3.6276827930259348	0.018965746727975314	72.65384615384616	6.148148148148148	263.5651075394612	Yes
PXDNL	-1.054236891674284	0.12944238337092906	247.1153846153846	133.14814814814815	260.51815496181825	Yes
VIPR2	-1.13388636593577	0.2930989254736273	225.85897435897436	111.38888888888889	256.09841164987773	Yes
MT1A	-1.6494341629063651	0.036493862011652244	154.62820512820514	65.62962962962963	255.04904408735476	Yes
CLDN6	-1.6924767414620012	0.2785588296378917	149.06410256410257	52.75925925925926	252.28752657664987	Yes
SLC5A5	-1.384022312586125	0.20529223657371118	176.26923076923077	83.44444444444444	243.96054840700813	Yes
SLC7A4	-1.9140224150494862	0.05010995831834117	124.66666666666667	44.851851851851855	238.61479440950262	Yes
PIPOX	-1.2079953657299285	0.028327176452853847	196.26923076923077	94.62962962962963	237.09232120460865	Yes
PCDH9	-1.627763775417276	7.604061106188134e-4	134.75641025641025	37.48148148148148	219.3516031206537	Yes
PKNOX2	-1.5224850635170082	0.01063656774370204	143.97435897435898	46.074074074074076	219.19881106789745	Yes
RIMBP2	-2.9750455253070505	1.644393335228984e-7	73.24358974358974	12.61111111111111	217.90301392409202	Yes
SYT5	-1.9325858035372605	0.013526062489336405	106.35897435897436	30.77777777777778	205.54784392493735	Yes
HPDL	-1.0271429908320073	0.12944238337092906	187.56410256410257	83.94444444444444	192.65515328041369	No
TRIM55	-2.0745617090522845	0.01983927826964124	91.78205128205128	13.11111111111111	190.40752916801674	Yes
RAET1E	-1.2991207344512414	0.02896896795298612	145.02564102564102	56.833333333333336	188.40581728349287	Yes
C6orf127	-1.4116827334295705	0.11211508887047793	129.5897435897436	41.18518518518518	182.9396034552064	Yes
PCDHA5	-1.544129103205767	0.006165931523330247	115.97435897435898	38.351851851851855	179.07938291794062	No
HABP2	-1.4402659473568928	0.093961686571491	123.8974358974359	39.666666666666664	178.44525788791043	Yes
EFCAB5	-2.351759639751737	1.1958414555285582e-5	71.37179487179488	13.12962962962963	167.84930659612718	No
SLC12A3	-1.7822230998240334	0.03001637873611558	93.35897435897436	41.907407407407405	166.38652067844373	Yes
PTPRH	-1.2706705481938583	0.009099988821932824	130.52564102564102	55.48148148148148	165.85508783540604	Yes
EDDM3B	-1.571763143235865	0.41400165203198874	104.58974358974359	26.962962962962962	164.39030413484855	Yes
PAGE2B	-2.0566177216641837	0.41884353212884323	79.65384615384616	19.48148148148148	163.81751159871249	Yes
CES4	-2.355710435402029	0.001079288248168818	69.41025641025641	13.5	163.51046534957158	Yes
AKR1D1	-1.7926283665254106	0.13657237738707328	89.42307692307692	24.72222222222222	160.3023443142915	Yes
UCA1	-1.3497725593214818	0.11757812296808234	117.8974358974359	47.81481481481482	159.1347237887224	No
CYP3A5	-1.5042628713136945	0.00643821004930073	103.17948717948718	39.7037037037037	155.20907164528992	Yes
DUSP5P	-2.211365352947614	7.790658597358557e-5	69.8974358974359	14.574074074074074	154.56876800346657	No
