Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
EXD3	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
EXO1	7	13	0.12962962962962962	0.16455696202531644	0.09389235838840954	0.7592859483221519	1	-0.17180555381684418	0.10195088902547053	2-sample test for equality of proportions with continuity correction	two.sided
EXO5	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
EXOC2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EXOC3	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
EXOC3L2	2	3	0.037037037037037035	0.0379746835443038	1.925412687321595e-30	0.9999999999999989	1	-0.06755328803732913	0.06567799502279559	2-sample test for equality of proportions with continuity correction	two.sided
EXOC3L4	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EXOC7	8	13	0.14814814814814814	0.16455696202531644	1.62378887326143e-4	0.9898329937902914	1	-0.15714774891003036	0.12433012115569375	2-sample test for equality of proportions with continuity correction	two.sided
EXOC8	9	12	0.16666666666666666	0.1518987341772152	2.5731296880398178e-31	0.9999999999999996	1	-0.1270612937501589	0.15659715872906182	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC2	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC3	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC4	12	18	0.2222222222222222	0.22784810126582278	6.151765726732103e-31	0.9999999999999993	1	-0.15564851754922446	0.14439675946202332	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC5	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC6	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
EXOSC8	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
EXT1	19	23	0.35185185185185186	0.2911392405063291	0.3022745440994386	0.5824599871891705	1	-0.11692054101837707	0.23834576370942256	2-sample test for equality of proportions with continuity correction	two.sided
EXT2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EXTL2	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
EYA1	5	16	0.09259259259259259	0.20253164556962025	2.1474607848882634	0.14280589816283432	1	-0.24313137700081008	0.02325327104675476	2-sample test for equality of proportions with continuity correction	two.sided
EYA2	3	4	0.05555555555555555	0.05063291139240506	1.6588798582280194e-30	0.999999999999999	1	-0.07791003028675225	0.08775531861305325	2-sample test for equality of proportions with continuity correction	two.sided
EYA4	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
EYS	0	3	0	0.0379746835443038	0.7290762078209336	0.393182789455509	1	-0.09571085352671489	0.019761486438107295	2-sample test for equality of proportions with continuity correction	two.sided
