Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
7SK|ENSG00000254144.2	12	17	0.2222222222222222	0.21518987341772153	1.7255966948123394e-31	0.5000000000000001	1	-1	0.1342459198958649	2-sample test for equality of proportions with continuity correction	less
AADAC	1	5	0.018518518518518517	0.06329113924050633	0.6341828909044599	0.21291257023193438	1	-1	0.025046868482344137	2-sample test for equality of proportions with continuity correction	less
AADACL2	1	5	0.018518518518518517	0.06329113924050633	0.6341828909044599	0.21291257023193438	1	-1	0.025046868482344137	2-sample test for equality of proportions with continuity correction	less
AAMDC	6	9	0.1111111111111111	0.11392405063291139	1.7401098597765112e-30	0.4999999999999995	1	-1	0.09168165152982442	2-sample test for equality of proportions with continuity correction	less
AANAT	8	14	0.14814814814814814	0.17721518987341772	0.042210531398295045	0.4186094915274259	1	-1	0.09290074266977602	2-sample test for equality of proportions with continuity correction	less
AARD	19	23	0.35185185185185186	0.2911392405063291	0.3022745440994386	0.7087700064054148	1	-1	0.2122932501348217	2-sample test for equality of proportions with continuity correction	less
AARSD1	5	7	0.09259259259259259	0.08860759493670886	1.0813280912271527e-31	0.5000000000000001	1	-1	0.09148811971716386	2-sample test for equality of proportions with continuity correction	less
AATF	12	19	0.2222222222222222	0.24050632911392406	0.0013039610079017946	0.4855971647593355	1	-1	0.11943309083663489	2-sample test for equality of proportions with continuity correction	less
AATK	8	11	0.14814814814814814	0.13924050632911392	1.9423520260783735e-30	0.5000000000000006	1	-1	0.1199309375680175	2-sample test for equality of proportions with continuity correction	less
ABCA10	14	16	0.25925925925925924	0.20253164556962025	0.31076102986358634	0.7113932189518145	1	-1	0.19541469879741247	2-sample test for equality of proportions with continuity correction	less
ABCA5	14	16	0.25925925925925924	0.20253164556962025	0.31076102986358634	0.7113932189518145	1	-1	0.19541469879741247	2-sample test for equality of proportions with continuity correction	less
ABCA6	12	15	0.2222222222222222	0.189873417721519	0.05568949043073102	0.5932783138568758	1	-1	0.16595286616115543	2-sample test for equality of proportions with continuity correction	less
ABCA8	13	18	0.24074074074074073	0.22784810126582278	7.563596191660809e-31	0.5000000000000003	1	-1	0.14900562191246614	2-sample test for equality of proportions with continuity correction	less
ABCA9	12	15	0.2222222222222222	0.189873417721519	0.05568949043073102	0.5932783138568758	1	-1	0.16595286616115543	2-sample test for equality of proportions with continuity correction	less
ABCB10	6	12	0.1111111111111111	0.1518987341772152	0.1740513406759662	0.3382680345242111	1	-1	0.07154963839670148	2-sample test for equality of proportions with continuity correction	less
