Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	fdr
LINC00709	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
LINC00969	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
LIPT2	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
LMOD1	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
LMX1A	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRC14	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRC24	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRC37A17P	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRC37B	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRC52	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRRCC1	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
LY6H	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
LY9	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MAF1	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MAP6	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MCCC1	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
MCF2L2	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
MDM4	9	14	0.166666667	0.17721519	2.19E-30	0.5	1	-1	0.109326632	2-sample test for equality of proportions with continuity correction	less	0.645660657
METTL13	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MFI2	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
MFSD3	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MGST3	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR1231	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR1234	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR1278	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR181A1	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR181B1	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR199A2	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR214	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR2909	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR30B	13	20	0.240740741	0.253164557	5.55E-31	0.5	1	-1	0.125032902	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR30D	13	20	0.240740741	0.253164557	5.55E-31	0.5	1	-1	0.125032902	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3121	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3163	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3186	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3620	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4258	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4316	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4424	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4428	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4730	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4738	9	14	0.166666667	0.17721519	2.19E-30	0.5	1	-1	0.109326632	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4740	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4789	4	7	0.074074074	0.088607595	1.80E-30	0.5	1	-1	0.078753336	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR5008	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR5089	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR5191	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR557	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR570	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR661	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR921	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR939	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR944	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MOGAT2	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MPP2	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MPZL1	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MROH1	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL12	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL38	9	14	0.166666667	0.17721519	2.19E-30	0.5	1	-1	0.109326632	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL48	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL55	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPS21	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MT1HL1	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MTR	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MTRNR2L11	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
MUC20	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
MUC4	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
NADSYN1	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
