Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	fdr
MRGPRD	2	16	0.037037037	0.202531646	6.159444439	0.006535613	1	-1	-0.064359116	2-sample test for equality of proportions with continuity correction	less	0.645660657
C6orf3	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
FAM229B	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
FYN	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
KIAA1919	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
LAMA4	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
RFPL4B	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
SLC16A10	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000239015.1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000239095.1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
TRAF3IP2	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
TUBE1	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
WISP3	0	10	0	0.126582278	5.682842832	0.008565794	1	-1	-0.049460469	2-sample test for equality of proportions with continuity correction	less	0.645660657
IGHMBP2	2	15	0.037037037	0.189873418	5.419730333	0.009955217	1	-1	-0.053254494	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3164	4	19	0.074074074	0.240506329	5.102786186	0.011943722	1	-1	-0.052395278	2-sample test for equality of proportions with continuity correction	less	0.645660657
TPCN2	4	19	0.074074074	0.240506329	5.102786186	0.011943722	1	-1	-0.052395278	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL21	2	14	0.037037037	0.17721519	4.704695101	0.015040169	1	-1	-0.042245769	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRGPRF	3	16	0.055555556	0.202531646	4.521927254	0.016731558	1	-1	-0.041053744	2-sample test for equality of proportions with continuity correction	less	0.645660657
ADRBK1	1	11	0.018518519	0.139240506	4.319058319	0.018843886	1	-1	-0.034314953	2-sample test for equality of proportions with continuity correction	less	0.645660657
AMD1	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
CDC40	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
CDK19	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
DDO	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
GTF3C6	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
METTL24	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SL617P	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
RPF2	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
SLC22A16	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
SNORA40|ENSG00000212587.1	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000238775.1	0	8	0	0.101265823	4.164909341	0.020634811	1	-1	-0.029848329	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4522	5	19	0.092592593	0.240506329	3.79770252	0.02566148	1	-1	-0.030025233	2-sample test for equality of proportions with continuity correction	less	0.645660657
WSB1	5	19	0.092592593	0.240506329	3.79770252	0.02566148	1	-1	-0.030025233	2-sample test for equality of proportions with continuity correction	less	0.645660657
ANKRD13D	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
CLCF1	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
LINC00222	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
POLD4	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
REV3L	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SKP239	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
SSH3	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
ZNF259P1	1	10	0.018518519	0.126582278	3.615532661	0.028621194	1	-1	-0.02394066	2-sample test for equality of proportions with continuity correction	less	0.645660657
DCAF13	9	26	0.166666667	0.329113924	3.567621894	0.029458315	1	-1	-0.026358035	2-sample test for equality of proportions with continuity correction	less	0.645660657
FZD6	9	26	0.166666667	0.329113924	3.567621894	0.029458315	1	-1	-0.026358035	2-sample test for equality of proportions with continuity correction	less	0.645660657
SLC25A32	9	26	0.166666667	0.329113924	3.567621894	0.029458315	1	-1	-0.026358035	2-sample test for equality of proportions with continuity correction	less	0.645660657
GPR6	0	7	0	0.088607595	3.429875111	0.032013471	1	-1	-0.020429377	2-sample test for equality of proportions with continuity correction	less	0.645660657
NFIA	0	7	0	0.088607595	3.429875111	0.032013471	1	-1	-0.020429377	2-sample test for equality of proportions with continuity correction	less	0.645660657
WASF1	0	7	0	0.088607595	3.429875111	0.032013471	1	-1	-0.020429377	2-sample test for equality of proportions with continuity correction	less	0.645660657
CPT1A	2	12	0.037037037	0.151898734	3.356314291	0.033473875	1	-1	-0.020540466	2-sample test for equality of proportions with continuity correction	less	0.645660657
PCMTD1	3	14	0.055555556	0.17721519	3.237136751	0.035993171	1	-1	-0.018764599	2-sample test for equality of proportions with continuity correction	less	0.645660657
PXDNL	3	14	0.055555556	0.17721519	3.237136751	0.035993171	1	-1	-0.018764599	2-sample test for equality of proportions with continuity correction	less	0.645660657
AK9	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARMC2	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
C6orf183	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCDC162P	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
CD164	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
CEP57L1	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
FIG4	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
MICAL1	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
PPIL6	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
SESN1	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
SMPD2	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000238474.1	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
ZBTB24	1	9	0.018518519	0.113924051	2.938731519	0.04323931	1	-1	-0.01372813	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf67	11	28	0.203703704	0.35443038	2.826421659	0.046362377	1	-1	-0.00879273	2-sample test for equality of proportions with continuity correction	less	0.645660657
TBC1D3P5	7	21	0.12962963	0.265822785	2.807076301	0.046924637	1	-1	-0.009534413	2-sample test for equality of proportions with continuity correction	less	0.645660657
AIP	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
CABP2	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
CABP4	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
CDK2AP2	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
PITPNM1	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
SNORA73|ENSG00000253090.1	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
TMEM134	2	11	0.037037037	0.139240506	2.728569856	0.049283757	1	-1	-0.009858573	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARAP1	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP4A	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
DMKN	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
FFAR2	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
FGGY	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
GAPDHS	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
HDAC2	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
HOOK1	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
HS3ST5	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
KRTDAP	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
MARCKS	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4711	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNA5SP213	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
SBSN	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000238563.1	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
STARD10	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
TMEM147	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
U3|ENSG00000253091.1	0	6	0	0.075949367	2.712878135	0.049770627	1	-1	-0.011335308	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP6V1C1	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
AZIN1	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
BAALC	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8orf56	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
CTHRC1	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
KLF10	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR3151	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000238687.1	10	26	0.185185185	0.329113924	2.676238424	0.050928032	1	-1	-0.005369539	2-sample test for equality of proportions with continuity correction	less	0.645660657
MSC	5	17	0.092592593	0.215189873	2.660521017	0.051433517	1	-1	-0.007041948	2-sample test for equality of proportions with continuity correction	less	0.645660657
TRPA1	5	17	0.092592593	0.215189873	2.660521017	0.051433517	1	-1	-0.007041948	2-sample test for equality of proportions with continuity correction	less	0.645660657
U8|ENSG00000200191.1	5	17	0.092592593	0.215189873	2.660521017	0.051433517	1	-1	-0.007041948	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP6V1H	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
CHCHD7	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
FAM150A	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
FNTA	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
HGSNAT	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
IMPAD1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
LINC00968	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
LYPLA1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
MRPL15	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
NPBWR1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
OPRK1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
PENK	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
POTEA	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RB1CC1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RGS20	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SKP41	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SL250P	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNA5SP266	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNU105C	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNU6ATAC32P	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
RP1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
SDR16C5	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
SDR16C6P	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
SGK196	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
SNORA7|ENSG00000201316.1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
SOX17	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
ST18	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
TCEA1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
U3|ENSG00000201329.1	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
XKR4	3	13	0.055555556	0.164556962	2.644731555	0.051946853	1	-1	-0.007756136	2-sample test for equality of proportions with continuity correction	less	0.645660657
KSR1	9	24	0.166666667	0.303797468	2.539886861	0.05550137	1	-1	-0.002369526	2-sample test for equality of proportions with continuity correction	less	0.645660657
ANGPT1	11	27	0.203703704	0.341772152	2.357741444	0.06233128	1	-1	0.00334323	2-sample test for equality of proportions with continuity correction	less	0.645660657
NCALD	11	27	0.203703704	0.341772152	2.357741444	0.06233128	1	-1	0.00334323	2-sample test for equality of proportions with continuity correction	less	0.645660657
LRP12	10	25	0.185185185	0.316455696	2.213660338	0.068396881	1	-1	0.006662354	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR548A3	10	25	0.185185185	0.316455696	2.213660338	0.068396881	1	-1	0.006662354	2-sample test for equality of proportions with continuity correction	less	0.645660657
ADHFE1	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8orf46	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
EYA1	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
LACTB2	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
PPP1R42	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SL19P	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
RRS1	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
SULF1	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
XKR9	5	16	0.092592593	0.202531646	2.147460785	0.071402949	1	-1	0.004345667	2-sample test for equality of proportions with continuity correction	less	0.645660657
CARNS1	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
CORO1B	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
FOXO3	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
GPR152	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR587	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
MTL5	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
NR2E1	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
OSTM1	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
PPP1CA	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
PTPRCAP	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
QRSL1	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
RAD9A	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNA5SP212	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
RPS6KB2	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
SCML4	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
SEC63	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
snoU13|ENSG00000238974.1	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
SNX3	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
TBC1D10C	2	10	0.037037037	0.126582278	2.137287278	0.071877949	1	-1	6.98E-04	2-sample test for equality of proportions with continuity correction	less	0.645660657
GGH	4	14	0.074074074	0.17721519	2.101075491	0.073597785	1	-1	0.004262323	2-sample test for equality of proportions with continuity correction	less	0.645660657
NKAIN3	4	14	0.074074074	0.17721519	2.101075491	0.073597785	1	-1	0.004262323	2-sample test for equality of proportions with continuity correction	less	0.645660657
CHRNA6	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
CHRNB3	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
HOOK3	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
LINC00293	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
MIR4469	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
RN7SL806P	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
RNF170	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
THAP1	3	12	0.055555556	0.151898734	2.090431668	0.074112092	1	-1	0.00315455	2-sample test for equality of proportions with continuity correction	less	0.645660657
COIL	12	28	0.222222222	0.35443038	2.074311715	0.074898751	1	-1	0.011816367	2-sample test for equality of proportions with continuity correction	less	0.645660657
AHI1	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
ALDH8A1	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
ANAPC15	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP10A	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf168	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf87	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8A	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8B	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
CD22	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
CLC	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
CLPB	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
CLVS2	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
CYP2J2	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
DAB1	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
DLL3	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
DNAH11	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
EID2	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
EID2B	0	5	0	0.063291139	2.017342523	0.077755549	1	-1	-0.002643151	2-sample test for equality of proportions with continuity correction	less	0.645660657
