Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
TCAP	54	77	1	0.9746835443037974	0.2049395092744693	0.6746184928419854	1	-1	0.06997495930524816	2-sample test for equality of proportions with continuity correction	less
TCEA1	3	13	0.05555555555555555	0.16455696202531644	2.644731554860335	0.05194685275097259	1	-1	-0.007756135913771334	2-sample test for equality of proportions with continuity correction	less
TCEA2	9	7	0.16666666666666666	0.08860759493670886	1.1828219415794134	0.8616088738720104	1	-1	0.19225978725474666	2-sample test for equality of proportions with continuity correction	less
TCEANC	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TCEANC2	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
TCEB1	7	15	0.12962962962962962	0.189873417721519	0.46331364448453033	0.24803969765380265	1	-1	0.05984748483135638	2-sample test for equality of proportions with continuity correction	less
TCEB2	4	3	0.07407407407407407	0.0379746835443038	0.27063147887690786	0.698545757387426	1	-1	0.12015339356364246	2-sample test for equality of proportions with continuity correction	less
TCERG1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCF15	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCF19	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCF21	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
TCF24	5	15	0.09259259259259259	0.189873417721519	1.6754362804890692	0.09776598441881176	1	-1	0.015660358240680933	2-sample test for equality of proportions with continuity correction	less
TCF4	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCF7	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCFL5	7	6	0.12962962962962962	0.0759493670886076	0.5277313838099702	0.7662189012824246	1	-1	0.15902602865554705	2-sample test for equality of proportions with continuity correction	less
TCHH	7	8	0.12962962962962962	0.10126582278481013	0.05231792705957768	0.5904610487092641	1	-1	0.13759918991655223	2-sample test for equality of proportions with continuity correction	less
TCHHL1	7	8	0.12962962962962962	0.10126582278481013	0.05231792705957768	0.5904610487092641	1	-1	0.13759918991655223	2-sample test for equality of proportions with continuity correction	less
TCIRG1	2	8	0.037037037037037035	0.10126582278481013	1.0913445412583522	0.1480867469627766	1	-1	0.021386844550368475	2-sample test for equality of proportions with continuity correction	less
TCN2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TCOF1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCP1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCP10	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TCP10L	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TCP10L2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TCP11	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCP11L1	4	4	0.07407407407407407	0.05063291139240506	0.03498810360993902	0.5741897051424563	1	-1	0.1103221813064312	2-sample test for equality of proportions with continuity correction	less
TCTA	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TCTE1	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.5000000000000001	1	-1	0.07474416947064619	2-sample test for equality of proportions with continuity correction	less
TCTE3	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TCTEX1D1	0	2	0	0.02531645569620253	0.2049395092744693	0.3253815071580146	1	-1	0.01934204791284307	2-sample test for equality of proportions with continuity correction	less
TCTEX1D2	3	6	0.05555555555555555	0.0759493670886076	0.011740168154634408	0.45685821524905174	1	-1	0.06613369705620288	2-sample test for equality of proportions with continuity correction	less
TCTEX1D4	0	2	0	0.02531645569620253	0.2049395092744693	0.3253815071580146	1	-1	0.01934204791284307	2-sample test for equality of proportions with continuity correction	less
TDH	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TDO2	2	4	0.037037037037037035	0.05063291139240506	5.2770840222584945e-31	0.4999999999999997	1	-1	0.05859326854950118	2-sample test for equality of proportions with continuity correction	less
TDP2	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
TDRD10	8	9	0.14814814814814814	0.11392405063291139	0.09992131400792519	0.6240379596292884	1	-1	0.14870677643034821	2-sample test for equality of proportions with continuity correction	less
TDRD12	1	6	0.018518518518518517	0.0759493670886076	1.1262599624941396	0.14428725195116773	1	-1	0.01572629074095186	2-sample test for equality of proportions with continuity correction	less
TDRD3	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TDRD5	5	8	0.09259259259259259	0.10126582278481013	9.97621015054558e-32	0.4999999999999999	1	-1	0.08559483663257109	2-sample test for equality of proportions with continuity correction	less
TDRD6	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.44897356643693703	1	-1	0.04262727526989692	2-sample test for equality of proportions with continuity correction	less
TDRD7	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TDRD9	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TDRG1	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TDRKH	7	9	0.12962962962962962	0.11392405063291139	4.163561213490757e-6	0.5008140334319489	1	-1	0.12674020117752585	2-sample test for equality of proportions with continuity correction	less
TDRP	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
